"Issuer Company","Issue Type","Listing Date","Issue Size","Subscribed","Issue Price","Listing Day Price","Current Price","52 Week High","52 Week Low","Recommendation by Dilip Davda"
"HOAC Foods India Limited","SME","May 24, 2024","Rs 5.54 Cr","2013.64x","Rs 48.00","Rs 139.65 (190.94%)","Rs 160.05 (233.44%)","","","May apply"
"Rulka Electricals Limited","SME","May 24, 2024","Rs 26.40 Cr","676.83x","Rs 235.00","Rs 498.75 (112.23%)","Rs 514.75 (119.04%)","","","Apply"
"Quest Laboratories Limited","SME","May 23, 2024","Rs 43.16 Cr","85.26x","Rs 97.00","Rs 147.35 (51.91%)","Rs 137.95 (42.22%)","","","May apply"
"Indian Emulsifier Limited","SME","May 22, 2024","Rs 42.39 Cr","460.07x","Rs 132.00","Rs 451.50 (242.05%)","Rs 360.25 (172.92%)","","","May apply"
"ABS Marine Services Limited","SME","May 21, 2024","Rs 96.29 Cr","144.44x","Rs 147.00","Rs 279.30 (90%)","Rs 325.30 (121.29%)","","","Apply"
"Veritaas Advertising Limited","SME","May 21, 2024","Rs 8.48 Cr","621.62x","Rs 114.00","Rs 261.25 (129.17%)","Rs 139.50 (22.37%)","","","May apply"
"Mandeep Auto Industries Limited","SME","May 21, 2024","Rs 25.25 Cr","77.23x","Rs 67.00","Rs 65.35 (-2.46%)","Rs 60.00 (-10.45%)","","","Apply"
"Premier Roadlines Limited","SME","May 17, 2024","Rs 40.36 Cr","117.57x","Rs 67.00","Rs 91.35 (36.34%)","Rs 131.00 (95.52%)","","","May apply"
"Aztec Fluids & Machinery Limited","SME","May 17, 2024","Rs 24.12 Cr","218.38x","Rs 67.00","Rs 85.50 (27.61%)","Rs 92.13 (37.51%)","Rs 123.25 (Jul 18, 2024)","Rs 63.00 (Jun 04, 2024)","May apply"
"Piotex Industries Limited","SME","May 17, 2024","Rs 14.47 Cr","107.44x","Rs 94.00","Rs 114.30 (21.6%)","Rs 77.68 (-17.36%)","Rs 126.01 (May 21, 2024)","Rs 78.50 (Jun 06, 2024)","May apply"
